Model,Max_resolution,Low_resolution,Effective_pixels,Zoom_wide,Zoom_tele,Normal_focus_range,Macro_focus_range,Storage,Weight,Price
Agfa ePhoto 1280,1024,640,0,38,114,70,40,4,420,179
Agfa ePhoto 1680,1280,640,1,38,114,50,0,4,420,179
Agfa ePhoto CL18,640,0,0,45,45,0,0,2,0,179
Agfa ePhoto CL30,1152,640,0,35,35,0,0,4,0,269
Agfa ePhoto CL30 Clik!,1152,640,0,43,43,50,0,40,300,1299
Agfa ePhoto CL45,1600,640,1,51,51,50,20,8,270,179
Agfa ePhoto CL50,1280,640,1,34,102,0,0,8,0,179
Canon EOS D30,2160,1440,3,0,0,0,0,16,855,549
Canon EOS-1D,2464,1232,4,0,0,0,0,0,1585,4499
Canon PowerShot 350,640,0,0,42,42,70,3,2,320,149
Canon PowerShot 600,832,640,0,50,50,40,10,1,460,139
Canon PowerShot A10,1280,1024,1,35,105,76,16,8,375,139
Canon PowerShot A100,1280,1024,1,39,39,20,5,8,225,139
Canon PowerShot A20,1600,1024,1,35,105,76,16,8,375,139
Canon PowerShot A200,1600,1024,1,39,39,20,5,8,225,139
Canon PowerShot A5,1024,512,0,35,35,50,9,8,240,149
Canon PowerShot A5 Zoom,1024,512,0,28,70,50,17,8,290,149
Canon PowerShot A50,1280,640,1,28,70,50,17,8,290,149
Canon PowerShot G1,2048,1024,3,34,102,70,6,16,490,499
Canon PowerShot G2,2272,1600,3,34,102,70,6,32,510,499
Canon PowerShot Pro70,1536,768,1,28,70,32,12,8,800,199
Canon PowerShot Pro90 IS,1856,1024,2,37,370,10,10,16,680,384
Canon PowerShot S10,1600,1280,1,35,70,46,12,8,320,399
Canon PowerShot S100,1600,640,1,35,70,57,10,8,250,199
Canon PowerShot S110,1600,1024,1,35,70,57,10,8,250,199
Canon PowerShot S20,2048,1024,3,32,64,66,12,16,320,399
Canon PowerShot S30,2048,1600,3,35,105,80,10,16,323,399
Canon PowerShot S300,1600,1024,1,35,105,76,16,8,270,199
Canon PowerShot S40,2272,1600,3,35,105,80,10,16,323,139
Casio GV-10,1280,640,1,35,35,60,10,8,320,249
Casio QV-2000UX,1600,800,1,36,108,50,20,8,320,249
Casio QV-2100,1600,800,1,41,41,80,20,16,260,249
Casio QV-2300UX,1600,800,1,41,123,10,1,8,245,249
Casio QV-2400UX,1600,800,1,41,123,10,1,8,245,249
Casio QV-2800UX,1600,800,1,40,320,40,1,8,295,249
Casio QV-2900UX,1600,800,1,40,320,40,1,8,295,249
Casio QV-300,640,320,0,47,106,60,9,4,290,249
Casio QV-3000EX,2048,1024,3,33,100,30,6,16,360,249
Casio QV-3500EX,2048,1024,3,33,100,30,6,16,360,249
Casio QV-3EX,2048,1024,3,41,41,50,10,16,245,249
Casio QV-4000,2240,1600,3,34,102,30,6,16,420,249
Casio QV-5000SX,1280,640,1,35,35,30,10,8,320,249
Casio QV-5500SX,1280,640,1,36,36,30,10,8,320,249
Casio QV-700,640,0,0,38,38,70,14,4,290,249
Casio QV-7000SX,1280,640,1,32,64,23,10,8,320,249
Casio QV-770,640,0,0,38,38,70,14,4,300,249
Casio QV-8000SX,1280,640,1,40,320,40,1,8,320,249
Contax N Digital,3040,0,6,0,0,0,0,0,0,549
Epson PhotoPC 3000 Zoom,2048,640,3,34,102,50,5,16,360,399
Epson PhotoPC 3100 Zoom,2048,1600,3,34,102,50,5,16,360,399
Epson PhotoPC 500,640,320,0,43,43,60,20,2,320,229
Epson PhotoPC 550,640,320,0,43,43,60,10,1,170,229
Epson PhotoPC 600,1024,640,0,36,36,50,20,4,270,229
Epson PhotoPC 650,1152,640,0,39,39,60,15,8,400,229
Epson PhotoPC 700,1280,640,1,35,35,50,10,4,0,229
Epson PhotoPC 750 Zoom,1280,640,1,34,102,80,20,8,0,229
Epson PhotoPC 800,1600,640,1,38,38,50,15,8,280,229
Epson PhotoPC 850 Zoom,1600,640,1,35,105,0,0,0,0,229
Fujifilm DS-260HD,1280,640,1,35,105,90,25,4,700,169
Fujifilm DS-300,1280,640,1,35,105,20,20,0,700,169
Fujifilm FinePix 1300,1280,640,1,38,38,80,8,8,240,169
Fujifilm FinePix 2300,1600,1280,1,36,36,80,8,8,240,169
Fujifilm FinePix 2400 Zoom,1600,1280,1,38,114,80,10,8,290,169
Fujifilm FinePix 2600 Zoom,1600,1280,1,38,114,80,10,16,260,169
Fujifilm FinePix 2800 Zoom,1600,1280,1,38,228,80,10,16,360,169
Fujifilm Finepix 30i,1600,1280,1,38,38,60,8,16,200,199
Fujifilm FinePix 40i,2400,1280,2,36,36,50,6,64,200,169
Fujifilm FinePix 4700 Zoom,2400,1280,2,36,108,80,20,16,280,169
Fujifilm FinePix 4800 Zoom,2400,1600,2,36,108,60,20,16,280,169
Fujifilm FinePix 4900 Zoom,2400,1600,2,35,210,50,10,16,450,169
Fujifilm FinePix 50i,2400,1600,2,36,36,50,6,64,200,169
Fujifilm FinePix 6800 Zoom,2832,2048,3,36,108,60,20,16,280,169
Fujifilm FinePix 6900 Zoom,2832,2048,3,35,210,50,10,16,450,169
Fujifilm FinePix A101,1280,640,1,36,36,80,8,8,190,169
Fujifilm FinePix A201,1600,1280,1,36,36,80,8,16,190,169
Fujifilm FinePix S1 Pro,3040,2340,3,0,0,0,0,16,820,1699
Fujifilm MX-1200,1280,640,1,38,38,70,10,4,240,169
Fujifilm MX-1400,1280,640,1,38,114,80,10,4,390,169
Fujifilm MX-1500,1280,640,1,38,38,50,10,4,250,169
Fujifilm MX-1700,1280,640,1,38,114,80,20,8,270,169
Fujifilm MX-2700,1800,1280,2,35,35,50,9,4,260,169
Fujifilm MX-2900 Zoom,1800,1280,2,35,105,90,25,8,385,179
Fujifilm MX-500,1280,640,1,35,35,50,9,2,220,169
Fujifilm MX-600 Zoom,1280,640,1,38,115,90,25,4,0,179
Fujifilm MX-700,1280,640,1,35,35,50,9,2,260,169
HP Photosmart 715,2048,640,3,34,102,60,20,16,320,179
HP Photosmart C20,1152,576,1,39,39,60,20,4,300,179
HP Photosmart C200,1152,640,1,35,35,60,20,8,300,179
HP Photosmart C215,1280,640,1,43,43,60,10,4,290,179
HP Photosmart C30,1152,576,1,35,35,60,20,4,300,179
HP Photosmart C315,1600,640,1,38,38,30,30,8,280,179
HP Photosmart C500,1600,640,1,38,115,0,0,16,410,179
HP Photosmart C618,1600,800,1,34,108,50,10,16,630,179
HP Photosmart C912,1600,800,1,34,108,50,10,16,150,179
JVC GC-QX3HD,2032,1024,3,37,86,50,2,8,320,14
JVC GC-QX5HD,2032,1024,3,37,86,50,2,16,320,14
Kodak DC200,1152,640,0,39,39,70,0,4,400,129
Kodak DC200 plus,1152,640,0,39,39,70,0,4,400,129
Kodak DC210 plus,1152,640,0,29,58,50,20,8,400,129
Kodak DC215,1152,640,0,29,58,50,20,4,320,129
Kodak DC220,1152,640,0,29,58,50,20,8,550,129
Kodak DC240,1280,640,1,39,117,50,25,8,420,129
Kodak DC260,1536,768,1,38,115,30,0,8,550,129
Kodak DC265,1536,768,1,38,115,30,0,16,550,129
Kodak DC280,1760,896,2,30,60,50,25,20,420,129
Kodak DC290,1792,1440,2,38,115,30,0,20,550,129
Kodak DC3200,1152,576,0,39,39,60,0,2,240,129
Kodak DC3400,1760,896,2,38,76,50,25,20,420,129
Kodak DC3800,1760,896,2,33,33,50,20,0,200,129
Kodak DC4800,2160,1800,3,28,84,50,20,16,320,129
Kodak DC5000,1760,896,2,30,60,50,20,16,459,126
Kodak DCS315,1520,0,1,0,0,0,0,0,1800,126
Kodak DCS330,2008,0,3,0,0,0,0,0,1080,126
Kodak DCS420,1524,0,1,0,0,0,0,0,1700,129
Kodak DCS460,3060,0,6,0,0,0,0,0,1700,129
Kodak DCS520,1728,0,2,0,0,0,0,0,1650,129
Kodak DCS560,3040,0,6,0,0,0,0,0,1650,129
Kodak DCS620,1728,0,2,0,0,0,0,0,1580,129
Kodak DCS620x,1728,0,2,0,0,0,0,0,1580,129
Kodak DCS660,3040,0,6,0,0,0,0,0,1580,129
Kodak DCS720x,1728,0,2,0,0,0,0,0,1580,129
Kodak DCS760,3032,0,6,0,0,0,0,0,1860,129
Kodak DX3215,1280,0,1,30,60,75,22,8,260,129
Kodak DX3500,1800,900,2,38,38,75,22,8,225,129
Kodak DX3600,1800,900,2,35,70,50,28,8,250,129
Kodak DX3700,2160,0,3,37,37,50,15,8,250,129
Kodak DX3900,2160,1800,3,35,70,50,7,8,260,129
Kodak mc3,640,0,0,37,37,70,0,16,198,129
Kyocera Finecam 3300,2048,1024,3,38,76,60,10,8,240,169
Kyocera Finecam S3,2048,1024,3,38,76,30,6,16,160,1699
Leica Digilux,1280,640,1,35,35,50,9,2,260,149
Leica Digilux 4.3,2400,1280,2,36,108,80,20,16,280,149
Leica Digilux Zoom,1280,640,1,38,114,80,20,8,270,249
Nikon Coolpix 100,512,320,0,52,52,23,14,1,200,229
Nikon Coolpix 300,640,0,0,45,45,23,14,4,250,229
Nikon Coolpix 5000,2560,1600,4,28,85,50,2,32,414,229
Nikon Coolpix 600,1024,512,0,36,36,50,14,8,220,229
Nikon Coolpix 700,1600,640,1,35,35,30,9,8,340,229
Nikon Coolpix 775,1600,1024,1,38,115,30,4,8,230,159
Nikon Coolpix 800,1600,640,1,38,76,30,7,8,360,229
Nikon Coolpix 880,2048,1024,3,38,95,40,4,8,320,229
Nikon Coolpix 885,2048,1024,3,38,114,40,4,16,286,159
Nikon Coolpix 900,1280,640,1,38,115,50,20,4,420,229
Nikon Coolpix 900S,1280,640,1,38,115,50,20,8,420,229
Nikon Coolpix 950,1600,1024,1,38,115,30,2,8,480,229
Nikon Coolpix 990,2048,1024,3,38,115,30,2,16,450,229
Nikon Coolpix 995,2048,1600,3,38,152,30,2,16,420,159
Nikon D1,2000,0,2,0,0,0,0,0,1200,1599
Nikon D1H,2000,0,2,0,0,0,0,0,1200,1599
Nikon D1X,3008,2000,5,0,0,0,0,0,1200,4699
Olympus C-1,1280,640,1,35,35,50,10,8,190,1699
Olympus C-2,1600,1024,1,36,36,50,10,16,220,1699
Olympus C-2000 Zoom,1600,1024,1,35,105,80,20,8,380,129
Olympus C-2020 Zoom,1600,1024,1,35,105,80,20,8,380,129
Olympus C-2040 Zoom,1600,1024,1,40,120,80,20,8,380,129
Olympus C-21,1600,1024,1,38,38,60,15,8,190,1699
Olympus C-2100 UZ,1600,1280,1,38,380,60,10,8,540,129
Olympus C-2500 L,1712,1280,2,36,110,80,2,32,530,129
Olympus C-3000 Zoom,2048,1600,3,32,96,80,20,8,380,1699
Olympus C-3020 Zoom,2048,1600,3,32,96,80,20,8,380,1699
Olympus C-3030 Zoom,2048,1600,3,32,96,80,20,16,380,1699
Olympus C-3040 Zoom,2048,1600,3,35,105,80,20,16,420,1699
Olympus C-4040 Zoom,2272,2048,3,35,105,80,20,16,420,129
Olympus C-700 UZ,1600,1280,1,38,380,60,10,8,340,449
Olympus D-150Z,1280,640,1,38,114,50,20,8,190,1699
Olympus D-200L,640,320,0,36,36,75,20,2,320,129
Olympus D-300L,1024,512,0,36,36,50,20,6,320,1699
Olympus D-340L,1280,640,1,36,36,70,10,4,320,1699
Olympus D-340R,1280,640,1,36,36,70,10,8,320,1699
Olympus D-360L,1280,640,1,36,36,50,10,8,280,1699
Olympus D-370,1280,1024,1,35,35,60,25,1,190,1699
Olympus D-40 Zoom,2272,2048,3,35,98,80,10,16,270,1699
Olympus D-400 Zoom,1280,640,1,35,105,80,20,8,320,129
Olympus D-450 Zoom,1280,640,1,35,105,80,20,8,320,129
Olympus D-460 Zoom,1280,640,1,35,105,80,20,8,320,449
Olympus D-490 Zoom,1600,640,1,35,105,80,20,8,320,129
Olympus D-500L,1024,640,0,50,150,60,30,2,490,449
Olympus D-510 Zoom,1600,1024,1,35,105,80,20,8,250,129
Olympus D-600L,1280,640,1,36,110,60,30,4,0,1699
Olympus D-620L,1280,640,1,36,110,60,30,8,520,1699
Olympus E-10,2240,1600,3,35,140,60,20,0,1190,1699
Olympus E-100 RS,1368,1280,1,38,380,60,10,16,603,129
Olympus E-20,2560,1792,4,35,140,60,20,16,1190,1699
Panasonic Lumix DMC-F7,1600,800,1,35,70,50,10,8,200,1499
Panasonic Lumix DMC-LC5,2240,1600,3,33,100,30,6,32,435,1499
Pentax EI-100,1280,640,1,42,42,60,30,8,240,509
Pentax EI-200,1600,800,1,34,108,50,10,16,390,509
Pentax EI-2000,1600,800,1,34,108,50,10,16,630,509
Pentax Optio 330,2048,1024,3,37,111,40,14,16,240,269
Pentax Optio 430,2240,1120,3,37,111,40,14,16,240,269
Ricoh Caplio RR1,2272,1120,3,35,105,24,1,8,340,99
Ricoh RDC-200G,1792,1280,2,38,114,4,4,8,500,399
Ricoh RDC-4300,1280,640,1,35,105,40,8,4,320,149
Ricoh RDC-5000,1792,896,2,38,86,40,4,8,340,149
Ricoh RDC-5300,1792,896,2,38,114,40,4,8,380,177
Ricoh RDC-6000,1600,800,1,40,40,30,13,8,300,149
Ricoh RDC-7,2048,1024,3,35,105,24,1,8,320,1699
Ricoh RDC-i500,2048,1024,3,35,105,24,1,8,320,4999
Ricoh RDC-i700,2048,1024,3,35,105,24,1,8,450,149
Sanyo DSC-AZ1,2288,1600,3,35,98,50,10,16,340,429
Sanyo DSC-MZ1,1600,640,1,35,98,50,10,8,340,429
Sanyo VPC-X350,1024,640,0,38,38,60,10,4,260,149
Sanyo VPC-Z400,1280,640,1,34,102,80,20,4,350,149
Sony DSC-D700,1344,640,1,28,140,20,0,8,900,149
Sony DSC-D770,1344,640,1,28,140,20,0,8,900,149
Sony DSC-F505,1600,1024,1,38,190,80,8,4,475,149
Sony DSC-F505V,1856,1600,2,38,190,50,2,8,482,149
Sony DSC-F55,1600,640,1,37,37,50,10,4,300,429
Sony DSC-F55V,1856,1600,2,37,37,25,10,8,280,429
Sony DSC-F707,2560,2048,4,38,190,50,2,16,667,149
Sony DSC-P1,2048,1600,3,39,117,50,10,8,250,429
Sony DSC-P20,1216,1024,1,42,42,60,3,4,230,399
Sony DSC-P3,1920,1600,2,36,36,25,10,8,194,429
Sony DSC-P30,1280,1024,1,41,123,50,3,4,250,149
Sony DSC-P5,2048,1600,3,39,117,50,10,8,214,429
Sony DSC-P50,1600,1024,1,41,123,50,3,4,250,149
Sony DSC-S30,1280,640,1,39,117,25,3,4,370,149
Sony DSC-S50,1600,1280,1,39,117,25,3,4,370,149
Sony DSC-S70,2048,1600,3,34,102,25,4,8,420,149
Sony DSC-S75,2048,1600,3,34,102,50,4,8,444,149
Sony DSC-S85,2272,1600,3,34,102,50,4,16,444,149
Sony Mavica CD1000,1600,1600,1,37,370,80,3,8,980,1399
Sony Mavica CD200,1600,1024,1,39,117,50,3,8,620,1399
Sony Mavica CD300,2048,1600,3,34,102,50,4,8,620,1399
Sony Mavica FD-71,640,320,0,40,400,1,1,1,500,1399
Sony Mavica FD-73,640,320,0,40,400,1,1,1,500,1399
Sony Mavica FD-75,640,320,0,40,400,1,1,1,580,1399
Sony Mavica FD-81,1024,640,0,37,111,1,1,1,580,1399
Sony Mavica FD-83,1024,640,0,37,111,1,1,1,580,1399
Sony Mavica FD-85,1280,1280,1,37,111,1,1,1,0,1399
Sony Mavica FD-87,1280,1024,1,39,117,25,3,1,630,1399
Sony Mavica FD-88,1280,1024,1,34,270,4,4,1,600,1399
Sony Mavica FD-90,1280,1280,1,34,270,4,4,1,0,1399
Sony Mavica FD-91,1024,640,0,37,518,80,3,1,950,1399
Sony Mavica FD-92,1472,1280,1,41,328,25,3,1,660,1399
Sony Mavica FD-95,1600,1600,1,37,370,80,3,1,900,1399
Sony Mavica FD-97,1600,1024,1,39,390,25,2,1,990,1399
Toshiba PDR-M1,1280,640,1,35,35,50,9,4,290,62
Toshiba PDR-M11,1280,640,1,52,52,90,0,8,240,62
Toshiba PDR-M21,1600,800,1,39,39,50,0,8,240,177
Toshiba PDR-M25,1729,896,2,38,114,40,8,8,320,177
Toshiba PDR-M3,1280,640,1,38,115,90,25,4,380,62
Toshiba PDR-M4,1600,800,1,40,40,50,10,8,290,62
Toshiba PDR-M5,1600,800,1,40,120,90,25,8,350,62
Toshiba PDR-M60,1792,896,2,38,86,50,5,4,320,449
Toshiba PDR-M61,1792,896,2,38,114,50,5,8,310,62
Toshiba PDR-M65,2048,1024,3,38,114,10,10,8,320,62
Toshiba PDR-M70,2048,1024,3,35,105,80,9,16,390,62
Toshiba PDR-M71,2048,1024,3,35,98,80,10,8,340,62
Toshiba PDR-M81,2400,1200,3,35,98,80,10,16,340,62